Model,Dataset,student_auc_mean_formatted,student_auc_mean_value,student_auc_mean_std_value,student_auc_std_formatted,student_auc_std_value,student_auc_std_std_value,student_auc_range_formatted,student_auc_range_value,student_auc_range_std_value,gini_coefficient_formatted,gini_coefficient_value,gini_coefficient_std_value,eawi_alpha_10_formatted,eawi_alpha_10_value,eawi_alpha_10_std_value,eawi_alpha_20_formatted,eawi_alpha_20_value,eawi_alpha_20_std_value,eawi_alpha_30_formatted,eawi_alpha_30_value,eawi_alpha_30_std_value
gkt,assist2009,0.5863±0.0082,0.586257,0.008238,0.1997±0.0062,0.199712,0.006236,1.0000±0.0000,1.0,0.0,0.1841±0.0083,0.184101,0.008281,0.478±0.011,0.478374,0.011245,0.390±0.013,0.390377,0.013041,0.319±0.014,0.318593,0.013848
gkt,nips_task34,0.6584±0.0034,0.65837,0.00344,0.0921±0.0016,0.092075,0.001574,0.795±0.092,0.794804,0.091596,0.0769±0.0010,0.076936,0.000997,0.6077±0.0032,0.607718,0.003212,0.5610±0.0031,0.560962,0.003118,0.5178±0.0031,0.517805,0.003116
gkt,peiyou,0.6976±0.0013,0.697616,0.001283,0.0650±0.0002,0.064955,0.000208,0.548±0.016,0.548002,0.016224,0.0519±0.0002,0.051868,0.00018,0.6614±0.0012,0.661432,0.001233,0.6271±0.0012,0.627125,0.001196,0.5946±0.0012,0.594597,0.00117
hawkes,assist2009,0.6168±0.0012,0.616776,0.001194,0.1957±0.0020,0.19573,0.002033,1.0000±0.0000,1.0,0.0,0.1719±0.0023,0.171918,0.00226,0.5107±0.0020,0.510742,0.002,0.4229±0.0027,0.42294,0.002739,0.3502±0.0032,0.350234,0.003204
hawkes,nips_task34,0.6974±0.0011,0.697363,0.001094,0.0903±0.0006,0.090288,0.000612,0.602±0.054,0.601889,0.053675,0.0715±0.0004,0.071488,0.000368,0.6475±0.0009,0.64751,0.000938,0.6012±0.0009,0.601221,0.000861,0.5582±0.0008,0.558241,0.00085
hawkes,peiyou,0.7555±0.0003,0.755507,0.000259,0.0631±0.0003,0.063122,0.00031,0.5256±0.0095,0.525639,0.009511,0.0467±0.0002,0.046745,0.000232,0.7202±0.0004,0.720191,0.000413,0.6865±0.0006,0.686526,0.000557,0.6544±0.0007,0.654435,0.000688
kqn,assist2009,0.5654±0.0032,0.565355,0.003151,0.2028±0.0029,0.202767,0.002882,1.0000±0.0000,1.0,0.0,0.1950±0.0041,0.194951,0.004124,0.4551±0.0048,0.455149,0.004844,0.3664±0.0058,0.366433,0.005782,0.2950±0.0062,0.295015,0.006179
kqn,nips_task34,0.6549±0.0015,0.654934,0.001509,0.0901±0.0015,0.090114,0.001458,0.683±0.042,0.682885,0.042305,0.0758±0.0011,0.075796,0.001064,0.6053±0.0017,0.605293,0.001702,0.5594±0.0020,0.559415,0.002028,0.5170±0.0024,0.517014,0.00237
kqn,peiyou,0.7060±0.0004,0.706038,0.000427,0.0643±0.0003,0.064315,0.000275,0.534±0.036,0.534252,0.036386,0.0507±0.0002,0.050699,0.000205,0.6702±0.0003,0.670242,0.000315,0.6363±0.0003,0.636262,0.000262,0.6040±0.0003,0.604004,0.000279
saint,assist2009,0.512±0.012,0.511611,0.012362,0.1927±0.0025,0.192737,0.002534,1.0000±0.0000,1.0,0.0,0.2012±0.0077,0.201233,0.007695,0.409±0.014,0.408731,0.013696,0.327±0.014,0.326563,0.014037,0.261±0.014,0.260933,0.013706
saint,nips_task34,0.7011±0.0015,0.701129,0.001488,0.0960±0.0010,0.096024,0.000988,0.581±0.016,0.580918,0.016438,0.0766±0.0007,0.07657,0.000672,0.6474±0.0010,0.647443,0.001025,0.5979±0.0007,0.597868,0.000748,0.5521±0.0007,0.552089,0.000717
saint,peiyou,0.7536±0.0008,0.753623,0.000811,0.0630±0.0003,0.063,0.000307,0.480±0.035,0.479912,0.034742,0.0468±0.0003,0.046817,0.000299,0.7183±0.0010,0.71834,0.000974,0.6847±0.0011,0.68471,0.001128,0.6527±0.0013,0.652654,0.00127
sakt,assist2009,0.5501±0.0047,0.550095,0.004676,0.1974±0.0040,0.197352,0.004014,1.0000±0.0000,1.0,0.0,0.1927±0.0051,0.192679,0.005127,0.4441±0.0064,0.444121,0.006401,0.3586±0.0074,0.358573,0.007362,0.2895±0.0077,0.289513,0.007727
sakt,nips_task34,0.6176±0.0016,0.61763,0.00164,0.0877±0.0012,0.087689,0.001211,0.706±0.081,0.705653,0.081064,0.0769±0.0008,0.076889,0.000763,0.5701±0.0014,0.570141,0.001393,0.5263±0.0013,0.526303,0.001316,0.4858±0.0014,0.485836,0.001365
sakt,peiyou,0.6934±0.0006,0.693435,0.000609,0.0643±0.0004,0.064276,0.00041,0.626±0.045,0.625806,0.044798,0.0514±0.0003,0.051444,0.000299,0.6578±0.0007,0.657762,0.000734,0.6239±0.0009,0.623924,0.000863,0.5918±0.0010,0.591827,0.000987
skvmn,assist2009,0.5579±0.0095,0.557914,0.009517,0.1970±0.0029,0.196967,0.002943,1.0000±0.0000,1.0,0.0,0.1906±0.0053,0.19061,0.005346,0.452±0.011,0.451608,0.010543,0.366±0.011,0.365571,0.010874,0.296±0.011,0.295935,0.01071
skvmn,nips_task34,0.6142±0.0016,0.614201,0.001601,0.0802±0.0009,0.080208,0.00094,0.690±0.054,0.68977,0.053868,0.0712±0.0007,0.071166,0.000672,0.5705±0.0018,0.570491,0.001847,0.5299±0.0021,0.529892,0.002066,0.4922±0.0023,0.492183,0.002254
skvmn,peiyou,0.6435±0.0017,0.643521,0.001743,0.0634±0.0005,0.063446,0.000517,0.593±0.050,0.593428,0.050461,0.0548±0.0005,0.054795,0.000477,0.6083±0.0019,0.60826,0.001934,0.5749±0.0021,0.574931,0.002105,0.5434±0.0023,0.543429,0.002254
