Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,Folds_Present
nips_task34,bakt,0.804143,7e-05,0.717619,0.000526,0.094628,0.000807,0.985099,0.00218,0.368007,0.063427,0.617092,0.062324,12.289203,"0,1,2,3,4"
nips_task34,deep_irt,0.771747,0.000781,0.653719,0.000567,0.089394,0.001344,0.98411,0.005165,0.267857,0.031186,0.716252,0.032663,10.209796,"0,1,2,3,4"
nips_task34,dimkt,0.803093,0.000248,0.717699,0.001092,0.095154,0.000281,0.983534,0.003244,0.433026,0.008437,0.550508,0.010542,13.700994,"0,1,2,3,4"
nips_task34,dkt,0.774015,0.00017,0.657289,0.000949,0.090134,0.000917,0.987299,0.003514,0.21392,0.104732,0.773379,0.107815,9.429234,"0,1,2,3,4"
nips_task34,dkt+,0.774632,0.000239,0.658206,0.001406,0.090716,0.001536,0.988452,0.002192,0.207386,0.11998,0.781066,0.120325,9.289456,"0,1,2,3,4"
nips_task34,dkt_forget,0.777944,0.000351,0.66547,0.000691,0.090561,0.000384,0.989802,0.004092,0.23125,0.070226,0.758552,0.07119,9.687331,"0,1,2,3,4"
nips_task34,dkvmn,0.772022,0.000267,0.653789,0.001437,0.089312,0.001007,0.985666,0.001207,0.263435,0.079019,0.72223,0.080128,10.135623,"0,1,2,3,4"
nips_task34,gkt,0.773753,0.002463,0.65837,0.00344,0.092075,0.001574,0.985384,0.001431,0.190579,0.091262,0.794804,0.091596,8.996406,"0,1,2,3,4"
nips_task34,hawkes,0.776188,0.001018,0.697363,0.001094,0.090288,0.000612,0.96992,0.00365,0.368031,0.051931,0.601889,0.053675,12.832498,"0,1,2,3,4"
nips_task34,kqn,0.773385,0.000467,0.654934,0.001509,0.090114,0.001458,0.983623,0.004429,0.300739,0.038081,0.682885,0.042305,10.642875,"0,1,2,3,4"
nips_task34,saint,0.788682,0.001253,0.701129,0.001488,0.096024,0.000988,0.982531,0.001451,0.401613,0.015849,0.580918,0.016438,12.56914,"0,1,2,3,4"
