Model,Dataset,student_auc_mean_formatted,student_auc_mean_value,student_auc_mean_std_value,student_auc_std_formatted,student_auc_std_value,student_auc_std_std_value,student_auc_range_formatted,student_auc_range_value,student_auc_range_std_value,gini_coefficient_formatted,gini_coefficient_value,gini_coefficient_std_value,eawi_alpha_10_formatted,eawi_alpha_10_value,eawi_alpha_10_std_value,eawi_alpha_20_formatted,eawi_alpha_20_value,eawi_alpha_20_std_value,eawi_alpha_30_formatted,eawi_alpha_30_value,eawi_alpha_30_std_value
dkt+,peiyou,0.7188±0.0007,0.718754,0.000706,0.0590±0.0001,0.058998,0.000146,0.492±0.012,0.4922,0.012422,0.0458±0.0001,0.045826,0.000115,0.6858±0.0007,0.685817,0.000653,0.6544±0.0006,0.654389,0.000614,0.6244±0.0006,0.624401,0.000586
dkvmn,assist2009,0.5794±0.0027,0.579434,0.002656,0.2046±0.0040,0.20456,0.003988,1.0000±0.0000,1.0,0.0,0.1907±0.0051,0.190653,0.005062,0.4690±0.0051,0.468974,0.005076,0.3796±0.0065,0.379583,0.006496,0.3072±0.0072,0.30724,0.007199
dkvmn,nips_task34,0.6577±0.0014,0.657738,0.001443,0.0874±0.0010,0.087381,0.001014,0.713±0.078,0.712676,0.077704,0.0730±0.0008,0.072986,0.00083,0.6097±0.0018,0.609733,0.001792,0.5652±0.0021,0.565233,0.00212,0.5240±0.0024,0.52398,0.002406
dkvmn,peiyou,0.7128±0.0009,0.712768,0.000851,0.0589±0.0002,0.058932,0.000236,0.528±0.022,0.52765,0.022339,0.0460±0.0002,0.046045,0.000223,0.6799±0.0009,0.679949,0.000858,0.6486±0.0009,0.64864,0.000886,0.6188±0.0009,0.618774,0.000929
gkt,assist2009,0.5865±0.0082,0.58653,0.008179,0.1998±0.0062,0.199773,0.006233,1.0000±0.0000,1.0,0.0,0.1841±0.0083,0.184073,0.008266,0.479±0.011,0.478614,0.011199,0.391±0.013,0.390585,0.013003,0.319±0.014,0.318773,0.013814
gkt,nips_task34,0.6621±0.0034,0.66213,0.00336,0.0898±0.0017,0.089841,0.001686,0.783±0.092,0.78256,0.091584,0.0745±0.0010,0.074548,0.001042,0.6128±0.0030,0.612769,0.003035,0.5671±0.0029,0.567088,0.002884,0.5248±0.0029,0.524813,0.00286
gkt,peiyou,0.7007±0.0010,0.700664,0.001022,0.0602±0.0003,0.060224,0.00035,0.526±0.038,0.52648,0.038329,0.0480±0.0003,0.047957,0.000282,0.6671±0.0011,0.667063,0.001098,0.6351±0.0012,0.635072,0.001183,0.6046±0.0013,0.604616,0.001268
hawkes,assist2009,0.6173±0.0012,0.61728,0.001201,0.1957±0.0020,0.195671,0.002016,1.0000±0.0000,1.0,0.0,0.1717±0.0022,0.17167,0.002229,0.5113±0.0020,0.511312,0.001977,0.4235±0.0027,0.423539,0.002702,0.3508±0.0032,0.350834,0.003162
hawkes,nips_task34,0.7019±0.0010,0.701912,0.000998,0.0872±0.0007,0.087205,0.000692,0.588±0.055,0.588027,0.054954,0.0683±0.0004,0.068322,0.000412,0.6540±0.0008,0.653956,0.00078,0.6093±0.0007,0.609277,0.000673,0.5676±0.0007,0.56765,0.000673
hawkes,peiyou,0.7553±0.0002,0.755276,0.000171,0.0584±0.0002,0.058401,0.000247,0.523±0.017,0.523085,0.017175,0.0432±0.0002,0.043249,0.000183,0.7226±0.0003,0.722611,0.00028,0.6914±0.0004,0.691358,0.000392,0.6615±0.0005,0.661457,0.000497
kqn,assist2009,0.5656±0.0032,0.56557,0.00315,0.2028±0.0029,0.202848,0.002895,1.0000±0.0000,1.0,0.0,0.1950±0.0041,0.194969,0.004142,0.4553±0.0049,0.455312,0.004853,0.3666±0.0058,0.366556,0.005798,0.2951±0.0062,0.295108,0.006199
kqn,nips_task34,0.6594±0.0014,0.659437,0.001448,0.0880±0.0012,0.088002,0.001219,0.673±0.044,0.672514,0.043803,0.0735±0.0009,0.073531,0.00089,0.6109±0.0015,0.610948,0.001465,0.5660±0.0017,0.566025,0.001653,0.5244±0.0019,0.524405,0.001901
kqn,peiyou,0.7090±0.0005,0.708985,0.000518,0.0598±0.0003,0.059772,0.000274,0.542±0.042,0.541662,0.042136,0.0469±0.0002,0.046926,0.000162,0.6757±0.0005,0.675715,0.000454,0.6440±0.0004,0.644007,0.000421,0.6138±0.0004,0.613786,0.000416
saint,assist2009,0.512±0.012,0.512178,0.012378,0.1930±0.0026,0.192998,0.00258,1.0000±0.0000,1.0,0.0,0.2014±0.0078,0.201391,0.007759,0.409±0.014,0.409103,0.013738,0.327±0.014,0.326797,0.014095,0.261±0.014,0.261069,0.013771
saint,nips_task34,0.7060±0.0014,0.706045,0.001426,0.0931±0.0009,0.093097,0.000875,0.571±0.022,0.570524,0.021592,0.0735±0.0006,0.073512,0.000596,0.6541±0.0010,0.654142,0.001001,0.6061±0.0007,0.606055,0.000725,0.5615±0.0007,0.561502,0.000653
saint,peiyou,0.7541±0.0008,0.75413,0.000799,0.0587±0.0003,0.058706,0.000325,0.4461±0.0080,0.446139,0.008023,0.0436±0.0003,0.043584,0.000296,0.7213±0.0010,0.721263,0.000961,0.6898±0.0011,0.689827,0.001116,0.6598±0.0013,0.659763,0.001261
sakt,assist2009,0.5506±0.0047,0.550572,0.004718,0.1975±0.0040,0.197501,0.003986,1.0000±0.0000,1.0,0.0,0.1927±0.0051,0.192686,0.005101,0.4445±0.0064,0.444502,0.006427,0.3589±0.0074,0.358878,0.007374,0.2898±0.0077,0.289757,0.007729
sakt,nips_task34,0.6226±0.0017,0.622627,0.001713,0.0869±0.0013,0.086933,0.001262,0.694±0.082,0.693523,0.081624,0.0758±0.0008,0.075799,0.000762,0.5754±0.0016,0.575432,0.00156,0.5318±0.0015,0.531815,0.001549,0.4915±0.0016,0.491504,0.001629
sakt,peiyou,0.6974±0.0005,0.697373,0.000538,0.0599±0.0003,0.059852,0.000332,0.579±0.048,0.579302,0.047501,0.0477±0.0002,0.047715,0.00023,0.6641±0.0006,0.664097,0.00056,0.6324±0.0006,0.63241,0.000613,0.6022±0.0007,0.602234,0.000683
skvmn,assist2009,0.5582±0.0095,0.558201,0.009503,0.1971±0.0030,0.197117,0.002956,1.0000±0.0000,1.0,0.0,0.1907±0.0054,0.190721,0.005377,0.452±0.011,0.451779,0.010554,0.366±0.011,0.36566,0.0109,0.296±0.011,0.295967,0.010743
skvmn,nips_task34,0.6200±0.0016,0.620048,0.001645,0.0799±0.0008,0.079896,0.000847,0.662±0.054,0.661932,0.053699,0.0702±0.0006,0.070247,0.000612,0.5765±0.0019,0.576492,0.001894,0.5360±0.0021,0.535996,0.002105,0.4983±0.0023,0.498345,0.002279
skvmn,peiyou,0.6498±0.0015,0.649828,0.001535,0.0596±0.0005,0.059595,0.00049,0.609±0.047,0.608583,0.046615,0.0511±0.0004,0.051101,0.000422,0.6166±0.0016,0.616622,0.001631,0.5851±0.0017,0.585112,0.001736,0.5552±0.0018,0.555213,0.001842
